entity_id,pathway,event_type,event,time,resource_id,run
1,Simplest,arrival_departure,arrival,0.000000,,0
1,Simplest,queue,treatment_wait_begins,0.000000,,0
1,Simplest,resource_use,treatment_begins,0.000000,1.0,0
2,Simplest,arrival_departure,arrival,3.399660,,0
2,Simplest,queue,treatment_wait_begins,3.399660,,0
2,Simplest,resource_use,treatment_begins,3.399660,2.0,0
3,Simplest,arrival_departure,arrival,8.497645,,0
3,Simplest,queue,treatment_wait_begins,8.497645,,0
3,Simplest,resource_use,treatment_begins,8.497645,3.0,0
4,Simplest,arrival_departure,arrival,8.596678,,0
4,Simplest,queue,treatment_wait_begins,8.596678,,0
4,Simplest,resource_use,treatment_begins,8.596678,4.0,0
5,Simplest,arrival_departure,arrival,8.608025,,0
5,Simplest,queue,treatment_wait_begins,8.608025,,0
6,Simplest,arrival_departure,arrival,11.359739,,0
6,Simplest,queue,treatment_wait_begins,11.359739,,0
7,Simplest,arrival_departure,arrival,19.509442,,0
7,Simplest,queue,treatment_wait_begins,19.509442,,0
8,Simplest,arrival_departure,arrival,22.877356,,0
8,Simplest,queue,treatment_wait_begins,22.877356,,0
9,Simplest,arrival_departure,arrival,26.653863,,0
9,Simplest,queue,treatment_wait_begins,26.653863,,0
1,Simplest,resource_use_end,treatment_complete,40.317385,1.0,0
1,Simplest,arrival_departure,depart,40.317385,,0
5,Simplest,resource_use,treatment_begins,40.317385,1.0,0
10,Simplest,arrival_departure,arrival,40.737793,,0
10,Simplest,queue,treatment_wait_begins,40.737793,,0
2,Simplest,resource_use_end,treatment_complete,42.443230,2.0,0
2,Simplest,arrival_departure,depart,42.443230,,0
6,Simplest,resource_use,treatment_begins,42.443230,2.0,0
4,Simplest,resource_use_end,treatment_complete,48.809628,4.0,0
4,Simplest,arrival_departure,depart,48.809628,,0
7,Simplest,resource_use,treatment_begins,48.809628,4.0,0
3,Simplest,resource_use_end,treatment_complete,51.483457,3.0,0
3,Simplest,arrival_departure,depart,51.483457,,0
8,Simplest,resource_use,treatment_begins,51.483457,3.0,0
11,Simplest,arrival_departure,arrival,71.026558,,0
11,Simplest,queue,treatment_wait_begins,71.026558,,0
5,Simplest,resource_use_end,treatment_complete,77.447488,1.0,0
5,Simplest,arrival_departure,depart,77.447488,,0
9,Simplest,resource_use,treatment_begins,77.447488,1.0,0
6,Simplest,resource_use_end,treatment_complete,83.962251,2.0,0
6,Simplest,arrival_departure,depart,83.962251,,0
10,Simplest,resource_use,treatment_begins,83.962251,2.0,0
12,Simplest,arrival_departure,arrival,87.458700,,0
12,Simplest,queue,treatment_wait_begins,87.458700,,0
13,Simplest,arrival_departure,arrival,87.465138,,0
13,Simplest,queue,treatment_wait_begins,87.465138,,0
7,Simplest,resource_use_end,treatment_complete,95.498040,4.0,0
7,Simplest,arrival_departure,depart,95.498040,,0
